id,cuisine
18009,southern_us
28583,french
41580,spanish
29752,cajun_creole
35687,italian
38527,british
19666,italian
41217,chinese
28753,mexican
22659,cajun_creole
21749,italian
44967,french
42969,indian
44883,italian
20827,southern_us
23196,brazilian
35387,french
33780,mexican
19001,mexican
16526,southern_us
42455,japanese
47453,indian
42478,italian
11885,indian
16585,italian
29639,british
26245,thai
38516,chinese
47520,italian
26212,italian
23696,mexican
14926,indian
13292,japanese
27346,japanese
1384,chinese
15959,chinese
42297,filipino
46235,indian
21181,indian
9809,italian
22982,italian
23120,chinese
26743,french
12741,mexican
7050,greek
22437,italian
14760,spanish
10649,indian
48065,vietnamese
39931,chinese
32935,italian
40142,thai
19103,indian
38267,mexican
30512,italian
3324,chinese
26197,italian
384,japanese
47230,chinese
39748,cajun_creole
41038,italian
24878,mexican
42624,italian
45706,southern_us
8874,mexican
23878,italian
47234,mexican
24075,vietnamese
46323,italian
22562,italian
11358,chinese
9201,indian
38620,italian
47638,southern_us
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,italian
20798,filipino
24381,chinese
48178,spanish
45832,italian
27560,korean
23247,british
28975,southern_us
43230,greek
9126,italian
13021,cajun_creole
28194,vietnamese
25617,indian
36125,italian
16454,mexican
1607,chinese
38526,moroccan
18755,southern_us
12035,italian
16047,thai
15419,italian
16971,indian
31459,southern_us
27888,french
13900,italian
12376,thai
1658,chinese
29431,thai
22290,southern_us
28464,italian
37953,vietnamese
20814,thai
35987,southern_us
2329,italian
43237,southern_us
30647,french
16675,italian
37722,mexican
32438,korean
20287,thai
43296,indian
6237,italian
48560,chinese
20810,mexican
34951,french
31850,chinese
47745,chinese
37815,vietnamese
9872,greek
5592,italian
27411,vietnamese
39320,italian
40247,irish
19792,mexican
40754,italian
14365,mexican
14468,spanish
47563,mexican
19611,moroccan
7163,french
43069,mexican
27505,japanese
36500,chinese
25932,southern_us
817,italian
8471,southern_us
48250,southern_us
9413,cajun_creole
12097,cajun_creole
8416,japanese
5892,mexican
676,southern_us
47015,chinese
21891,greek
14630,french
36195,chinese
25981,mexican
39964,spanish
28298,indian
31954,italian
26620,mexican
14932,southern_us
47426,brazilian
1038,southern_us
8077,southern_us
37141,southern_us
45447,southern_us
9624,mexican
45589,southern_us
7265,french
31844,southern_us
13046,italian
9867,mexican
29184,spanish
34783,greek
2823,vietnamese
18932,mexican
11112,mexican
12859,mexican
9365,italian
44516,southern_us
18193,irish
46545,italian
9900,italian
14815,thai
39690,italian
22193,italian
11739,mexican
27311,indian
36920,filipino
7861,chinese
29248,moroccan
43142,mexican
7574,italian
8610,mexican
989,italian
46926,cajun_creole
40816,thai
39726,chinese
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,french
20484,thai
26661,brazilian
47182,mexican
22528,french
3861,spanish
1203,french
45040,mexican
33287,indian
10097,jamaican
42005,southern_us
12423,spanish
39613,mexican
30276,brazilian
18686,mexican
3031,italian
40093,italian
182,italian
46591,mexican
4092,chinese
13722,southern_us
44575,italian
14989,italian
13270,italian
25529,italian
12140,indian
23127,brazilian
13523,italian
41270,italian
8362,indian
11735,southern_us
27935,italian
28198,mexican
37765,indian
33856,vietnamese
30198,mexican
42521,southern_us
21567,southern_us
36995,french
24967,thai
45002,moroccan
48925,mexican
36914,mexican
2280,southern_us
14729,cajun_creole
4594,mexican
2237,mexican
45631,moroccan
2317,korean
23079,thai
29333,chinese
48066,spanish
15737,italian
30580,jamaican
1119,spanish
46336,moroccan
5026,italian
10749,southern_us
31020,mexican
30805,italian
27653,chinese
35060,mexican
39174,vietnamese
49509,italian
31784,southern_us
31408,mexican
36029,mexican
11045,italian
6561,filipino
26992,british
31179,southern_us
35099,indian
11018,japanese
17930,mexican
21302,filipino
46352,chinese
25132,mexican
7010,mexican
25850,italian
19601,mexican
7935,italian
34994,mexican
25113,italian
45523,italian
34977,southern_us
7124,chinese
27514,french
27178,mexican
47880,chinese
29197,irish
16347,mexican
20333,mexican
29112,japanese
7510,italian
13897,mexican
35699,mexican
20520,mexican
38920,mexican
21775,jamaican
37475,japanese
40131,cajun_creole
1939,mexican
48268,chinese
34815,mexican
13797,italian
39063,korean
29064,chinese
26896,italian
29477,italian
3352,mexican
4966,mexican
7316,italian
23879,mexican
16525,italian
32843,indian
39574,italian
32737,mexican
44788,mexican
28772,italian
34189,mexican
33719,cajun_creole
25846,indian
1423,indian
4328,vietnamese
579,cajun_creole
5219,indian
2314,southern_us
31143,italian
13409,chinese
3281,italian
15804,thai
40835,cajun_creole
39262,korean
37013,indian
14807,french
47956,chinese
2580,mexican
13720,italian
23008,chinese
5951,indian
39312,mexican
6176,southern_us
17617,indian
57,mexican
43422,jamaican
49403,irish
44751,british
21865,mexican
26584,french
39355,italian
14038,mexican
45396,italian
49715,mexican
41515,thai
30445,french
4090,mexican
17207,thai
40376,british
19398,mexican
22347,vietnamese
49671,mexican
40854,italian
926,chinese
47919,italian
20571,italian
18866,southern_us
48742,thai
14577,spanish
29481,italian
40996,italian
34470,cajun_creole
31147,mexican
35932,mexican
27221,italian
48301,italian
29925,vietnamese
48640,thai
22873,southern_us
10565,southern_us
15509,brazilian
37569,french
13306,chinese
40474,mexican
15182,indian
8609,chinese
32168,british
1125,spanish
25244,italian
46889,chinese
13841,filipino
47135,indian
29036,indian
43533,japanese
41631,filipino
22124,italian
18836,cajun_creole
35695,french
5141,indian
41894,moroccan
4972,italian
34195,filipino
14183,southern_us
15188,chinese
8734,italian
30946,southern_us
5588,italian
49554,irish
1270,japanese
1259,chinese
45986,italian
22351,southern_us
300,mexican
9278,cajun_creole
10021,indian
17014,southern_us
40855,italian
18362,cajun_creole
16292,japanese
29924,british
47174,cajun_creole
4856,italian
15417,italian
19875,british
42228,indian
36264,mexican
14571,southern_us
23496,chinese
43879,greek
23431,indian
5499,mexican
247,indian
48795,indian
47113,french
489,indian
13036,japanese
4838,mexican
40630,indian
17576,italian
29972,thai
8123,indian
35918,mexican
42669,chinese
24632,italian
35740,mexican
45670,italian
28041,filipino
46688,japanese
10309,vietnamese
15367,indian
30562,southern_us
47151,moroccan
47300,chinese
31200,mexican
5749,french
41807,french
13990,mexican
23572,greek
872,italian
38085,chinese
5248,filipino
26309,jamaican
26880,mexican
41559,mexican
8059,mexican
26041,thai
30019,indian
7207,indian
30309,russian
2092,mexican
8023,chinese
4016,mexican
24631,italian
35068,southern_us
8523,mexican
28463,spanish
8629,southern_us
43829,cajun_creole
22129,french
34505,thai
38200,chinese
36513,japanese
32187,italian
7788,southern_us
31130,indian
40483,southern_us
2224,southern_us
14143,southern_us
22889,chinese
17406,chinese
10451,thai
19844,italian
23416,french
33874,french
39951,filipino
41361,mexican
44659,indian
8836,french
21709,indian
22993,thai
39191,italian
17182,mexican
20507,filipino
42397,greek
18897,italian
3797,thai
11041,brazilian
807,japanese
3514,italian
12936,mexican
15050,southern_us
43377,southern_us
10471,chinese
30721,chinese
14333,moroccan
6260,chinese
7712,southern_us
19048,southern_us
21455,mexican
18575,cajun_creole
47647,italian
35947,mexican
14499,italian
43525,greek
5723,italian
48497,italian
43822,cajun_creole
525,mexican
30594,mexican
47948,southern_us
2099,indian
43863,italian
24711,mexican
15230,indian
21680,indian
