id,cuisine
18009,french
28583,italian
41580,greek
29752,cajun_creole
35687,italian
38527,irish
19666,italian
41217,chinese
28753,mexican
22659,italian
21749,italian
44967,british
42969,indian
44883,italian
20827,british
23196,brazilian
35387,french
33780,southern_us
19001,mexican
16526,southern_us
42455,japanese
47453,indian
42478,french
11885,mexican
16585,british
29639,southern_us
26245,thai
38516,korean
47520,italian
26212,brazilian
23696,mexican
14926,thai
13292,japanese
27346,japanese
1384,chinese
15959,mexican
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,cajun_creole
23120,thai
26743,french
12741,mexican
7050,greek
22437,mexican
14760,spanish
10649,moroccan
48065,vietnamese
39931,chinese
32935,italian
40142,thai
19103,indian
38267,mexican
30512,italian
3324,chinese
26197,italian
384,japanese
47230,chinese
39748,cajun_creole
41038,italian
24878,southern_us
42624,filipino
45706,moroccan
8874,mexican
23878,greek
47234,russian
24075,thai
46323,italian
22562,italian
11358,french
9201,indian
38620,italian
47638,brazilian
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,cajun_creole
24381,filipino
48178,spanish
45832,italian
27560,korean
23247,french
28975,french
43230,greek
9126,italian
13021,cajun_creole
28194,vietnamese
25617,indian
36125,italian
16454,mexican
1607,chinese
38526,moroccan
18755,southern_us
12035,british
16047,thai
15419,italian
16971,indian
31459,british
27888,french
13900,italian
12376,thai
1658,japanese
29431,filipino
22290,italian
28464,italian
37953,korean
20814,thai
35987,mexican
2329,italian
43237,southern_us
30647,french
16675,italian
37722,mexican
32438,japanese
20287,indian
43296,indian
6237,italian
48560,chinese
20810,mexican
34951,french
31850,chinese
47745,italian
37815,vietnamese
9872,italian
5592,italian
27411,vietnamese
39320,french
40247,french
19792,mexican
40754,italian
14365,mexican
14468,spanish
47563,mexican
19611,greek
7163,mexican
43069,irish
27505,mexican
36500,chinese
25932,southern_us
817,italian
8471,indian
48250,southern_us
9413,cajun_creole
12097,cajun_creole
8416,jamaican
5892,southern_us
676,southern_us
47015,chinese
21891,greek
14630,italian
36195,japanese
25981,mexican
39964,french
28298,indian
31954,greek
26620,mexican
14932,southern_us
47426,brazilian
1038,brazilian
8077,french
37141,southern_us
45447,southern_us
9624,mexican
45589,french
7265,southern_us
31844,southern_us
13046,italian
9867,southern_us
29184,spanish
34783,greek
2823,vietnamese
18932,mexican
11112,mexican
12859,mexican
9365,italian
44516,southern_us
18193,russian
46545,italian
9900,italian
14815,thai
39690,italian
22193,southern_us
11739,mexican
27311,french
36920,indian
7861,chinese
29248,moroccan
43142,mexican
7574,italian
8610,mexican
989,italian
46926,mexican
40816,thai
39726,chinese
42229,southern_us
10474,italian
22140,mexican
31985,indian
